Falcon Ledger	A	T	T	T	0.65	팔콘(조직) 회계·장부 관리 도구
Quantum Notary	A	T	T	T	0.6	퀀텀(현대적 수식어) 공증 서비스
Slack Messenger	R	F	F	T	0.95	유명 협업도구 상표 Slack 사용, 상표 유사
Photoshop Canvas	R	F	F	T	0.95	유명 이미지편집 상표 Photoshop 사용, 상표 유사
Data Thing	R	F	F	T	0.9	Thing 지칭 불명, 어떤 SaaS인지 불분명
Ledger Sentinel	A	T	T	T	0.6	장부 이상·감사 감시 도구
Ledger Watchman	R	F	F	T	0.65	승인된 Ledger Sentinel(장부 감시)과 같은 배치 동일 감시 개념 의미 중복
Mouthguard Grid	R	F	T	T	0.6	결합 불성립
Sunset Path	A	T	T	T	0.6	노을 명소 산책 경로 안내 도구
Steakhouse Core	R	F	T	T	0.6	결합 불성립
Smile Ledger	A	T	T	T	0.55	교정 진료·경과 기록 장부
Waterfront Deck	R	F	T	T	0.6	결합 불성립
Sushi Center	R	F	T	T	0.6	결합 불성립
Breath Zone	R	F	T	T	0.6	결합 불성립
Boardwalk Console	A	T	T	T	0.6	해변 상권 운영 관리 콘솔
Taco Trail	A	T	T	T	0.6	타코 맛집 트레일
Snoring Chain	R	F	T	T	0.6	코골이 진료 체인점 개념 부자연
Beachfront Gate	R	F	T	T	0.6	결합 불성립
Noodle Manager	A	T	T	T	0.6	면요리점 운영 관리
Bite Engine	R	F	T	T	0.6	Bite 지칭 추상, 엔진 대상 불분명
Skyline Planner	A	T	T	T	0.6	도심 전망 투어 계획 도구
Seafood Register	A	T	T	T	0.55	해산물 가게 주문·재고 등록부
Dentist Ops	A	T	T	T	0.6	치과 진료 운영 도구
Backpacker Journal	A	T	T	T	0.55	배낭여행 기록 저널
Orthodontist Locator	R	F	T	T	0.65	승인된 Orthodontist Directory(전문의 찾기)와 동일 대상 의미 중복
Parasailing Office	R	F	T	T	0.6	사무실 결합 부자연, 운영 도구와 구분 불명
Hygienist Bay	R	F	T	T	0.6	결합 불성립
Wildlife Harbor	R	F	T	T	0.6	결합 불성립
Floss Chart	A	T	T	T	0.6	치실 사용 기록 차트
Lagoon Passport	A	T	T	T	0.55	라군 투어 스탬프 패스
Tartar Line	R	F	T	T	0.6	라인 결합 불성립
Glacier Roll	R	F	T	T	0.6	결합 불성립
Fluoride Form	A	T	T	T	0.6	도포 문진·동의 폼
Volcano Sheet	R	F	T	T	0.6	시트 지칭 불명
Sealant Note	R	F	T	T	0.65	승인된 Sealant Log(시술 기록지)와 의미 중복
Daytrip Profile	R	F	T	T	0.6	프로필 대상 불분명
Gingivitis History	R	F	T	T	0.65	승인된 Gingivitis Status(치료 경과 추적)와 의미 중복
Yacht Level	R	F	T	T	0.6	단계 결합 불성립
Bruxism Feed	A	T	T	T	0.6	이갈이 경과 피드
Promenade Summary	R	F	T	T	0.6	요약 대상 불분명
Halitosis Index	A	T	T	T	0.6	구취 케이스 색인
Rainforest Estimate	A	T	T	T	0.6	투어 비용 견적
Periodontitis Receipt	R	F	T	T	0.65	승인된 Periodontics Receipt(치주 치료 영수증)와 동일 대상 의미 중복
Desert List	R	F	T	T	0.6	목록 지칭 제품 불명
Malocclusion Slip	R	F	T	T	0.6	전표 의미 불분명
Winery Slot	R	F	T	T	0.6	슬롯 지칭 제품 불명
Endodontics Voucher	R	F	T	T	0.6	치료 바우처 결합 부자연
Periodontics Statement	A	T	T	T	0.55	치주 치료 진료 명세서 관리
Production Opinion	R	F	T	T	0.6	의견 대상 불분명
Harvest Gift	R	F	T	T	0.6	결합 불성립
Meter Retreat	R	F	T	T	0.6	결합 불성립
Donor Tournament	R	F	T	T	0.6	결합 불성립
Deductible Tutorial	A	T	T	T	0.65	면책금 이해 튜토리얼
Recruiting Handbook	A	T	T	T	0.65	채용 실무 핸드북
Catalog Opinion	A	T	T	T	0.55	카탈로그 상품 의견 수집
Occupancy Gift	R	F	T	T	0.6	결합 불성립
Cohort Retreat	R	F	T	T	0.6	결합 불성립
Pesticide Flyer	A	T	T	T	0.55	농업 서비스 홍보 전단
Paralegal Tutorial	A	T	T	T	0.65	법률사무 보조 실무 튜토리얼
Courier Handbook	A	T	T	T	0.65	택배 기사 업무 핸드북
Annuity Opinion	A	T	T	T	0.55	연금 운영 의견 공유
Overtime Gift	R	F	T	T	0.6	결합 불성립
Scaffold Retreat	R	F	T	T	0.6	결합 불성립
Barcode Tournament	R	F	T	T	0.6	결합 불성립
Valet Flyer	A	T	T	T	0.55	발렛 서비스 홍보 전단
Cafe Type	R	F	T	T	0.6	유형 지칭 불명
Diner Resignation	R	F	T	T	0.6	결합 불성립
Product Tutorial	R	F	T	T	0.6	Product 대상 불명확
Injection Handbook	A	T	T	T	0.65	주사 시술 핸드북
Igniter Timetable	A	T	T	T	0.6	점화 장치 점검 일정표
Rim Opinion	R	F	T	T	0.6	의견 대상 불분명
